Title,Abstract,Related,detection,prediction
AI-Driven Boost in Detection Accuracy for Agricultural Fire Monitoring,"In recent years, agricultural landscapes have increasingly suffered from severe fire incidents, posing significant threats to crop production, economic stability, and environmental sustainability. Timely and precise detection of fires, especially at their incipient stages, remains crucial to mitigate damage and prevent ecological degradation. However, conventional detection methods frequently fall short in accurately identifying small-scale fire outbreaks due to limitations in sensitivity and response speed. Addressing these challenges, this research proposes an advanced fire detection model based on a modified Detection Transformer (DETR) architecture. The proposed framework incorporates an optimized ConvNeXt backbone combined with a novel Feature Enhancement Block (FEB), specifically designed to refine spatial and contextual feature representation for improved detection performance. Extensive evaluations conducted on a carefully curated agricultural fire dataset demonstrate the effectiveness of the proposed model, achieving precision, recall, mean Average Precision (mAP), and F1-score of 89.67%, 86.74%, 85.13%, and 92.43%, respectively, thereby surpassing existing state-of-the-art detection frameworks. These results validate the proposed architecture’s capability for reliable, real-time identification, offering substantial potential for enhancing agricultural resilience and sustainability through improved preventive strategies. © 2025 by the authors.",yes,Yes,No
AI-Driven UAV Surveillance for Agricultural Fire Safety,"The increasing frequency and severity of agricultural fires pose significant threats to food security, economic stability, and environmental sustainability. Traditional fire-detection methods, relying on satellite imagery and ground-based sensors, often suffer from delayed response times and high false-positive rates, limiting their effectiveness in mitigating fire-related damages. In this study, we propose an advanced deep learning-based fire-detection framework that integrates the Single-Shot MultiBox Detector (SSD) with the computationally efficient MobileNetV2 architecture. This integration enhances real-time fire- and smoke-detection capabilities while maintaining a lightweight and deployable model suitable for Unmanned Aerial Vehicle (UAV)-based agricultural monitoring. The proposed model was trained and evaluated on a custom dataset comprising diverse fire scenarios, including various environmental conditions and fire intensities. Comprehensive experiments and comparative analyses against state-of-the-art object-detection models, such as You Only Look Once (YOLO), Faster Region-based Convolutional Neural Network (Faster R-CNN), and SSD-based variants, demonstrated the superior performance of our model. The results indicate that our approach achieves a mean Average Precision (mAP) of 97.7%, significantly surpassing conventional models while maintaining a detection speed of 45 frames per second (fps) and requiring only 5.0 GFLOPs of computational power. These characteristics make it particularly suitable for deployment in edge-computing environments, such as UAVs and remote agricultural monitoring systems. © 2025 by the authors.",yes,Yes,No
"Domain Adaptation and Fine-Tuning of a Deep Learning Segmentation Model of Small Agricultural Burn Area Detection Using High-Resolution Sentinel-2 Observations: A Case Study of Punjab, India","High-resolution Sentinel-2 imagery combined with a deep learning (DL) segmentation model offers a promising approach for accurate mapping of small and fragmented agricultural burn areas. Initially, the model was trained using ICNF burn area data from Portugal to capture large fire and burn area delineation, thereby achieving moderate accuracy. Subsequent fine-tuning using annotated data from Punjab improved the model’s ability to detect small burn patches, demonstrating higher accuracy than the baseline Normalized Burn Ratio (NBR) Index method. On-ground validation using buffer zone analysis and crop field images confirmed the effectiveness of DL approach. Challenges such as cloud interference, temporal gaps in satellite data, and limited reference data for training persist, but this study underscores the methodogical advancements and potential of DL models applied for small burn area detection in agricultural settings. The model achieved overall accuracy of 98.7%, a macro-F1 score of 97.6%, IoU 0.54, and a Dice coefficient of 0.64, demonstrating its capability for detailed burn area delineation. The model can capture burn area smaller than 250 m2, but the model at present is less efficient at representing the full extent of the fires. Overall, outcomes demonstrate the model’s applicability to generalize to a new domain despite regional differences among research areas. © 2025 by the authors.",yes,No,Yes
Comparison of CNN and Vision Transformers for Wildfire Detection: A Proxy for Stubble Burning,"Stubble burning is a widely used agricultural practice in India and several other countries that greatly contribute to heavy air pollution. It is done to clear crop residues, usually from April to May and October to November. The gases released during this practice, including particulate matter and greenhouse gases, pose serious health and environmental risks [5]. This research focuses on classifying wildfire burning using satellite imagery as a proxy for stubble burning. We employ deep learning approaches like Convolutional Neural Networks and Vision Transformers to analyze their accuracy, computational efficiency, and real time suitability for environmental monitoring and potentially reduce wildfire burning's impact on air quality.  © 2025 IEEE.",,No,No
Development and Application of Self-Supervised Machine Learning for Smoke Plume and Active Fire Identification from the Fire Influence on Regional to Global Environments and Air Quality Datasets,"Fire Influence on Regional to Global Environments and Air Quality (FIREX-AQ) was a field campaign aimed at better understanding the impact of wildfires and agricultural fires on air quality and climate. The FIREX-AQ campaign took place in August 2019 and involved two aircraft and multiple coordinated satellite observations. This study applied and evaluated a self-supervised machine learning (ML) method for the active fire and smoke plume identification and tracking in the satellite and sub-orbital remote sensing datasets collected during the campaign. Our unique methodology combines remote sensing observations with different spatial and spectral resolutions. With as much as a 10% increase in agreement between our produced masks and high-certainty hand-labeled pixels, relative to evaluated operational products, the demonstrated approach successfully differentiates active fire pixels and smoke plumes from background imagery. This enables the generation of a per-instrument smoke and active fire mask product, as well as smoke and fire masks created from the fusion of selected data from independent instruments. This ML approach has the potential to enhance operational active wildfire monitoring systems and improve decision-making in air quality management through fast smoke plume identification and tracking and could improve climate impact studies through fusion data from independent instruments. © 2025 by the authors.",,No,No
MLSFDD: Machine-Learning-Based Smart Fire Detection Device for Precision Agriculture,"The agriculture sector contributes significantly to the overall development of the Indian economy. This sector can be revamped by modern technological interventions such as the Internet of Things (IoT) and machine learning (ML) along with traditional processes. To improve sustainable growth in the agriculture field, monitoring of parameters such as temperature, light, smoke, and flame is given top priority in crop yields. In this work, a smart IoT-based device [(ML-based smart fire detection device (MLSFDD)] is designed for smart agriculture. The proposed MLSFDD has gathered data from agricultural crop fields through sensors and sensed data are analyzed using state-of-the-art ML algorithms such as random forest (RF), support vector regression (SVR), K-nearest neighbors (KNN), and decision tree (DT) to detect the fire status by sending the notification through Android phones during strange hours. This model has been realized and examined using raw data received from different sensors. The accuracy, root mean square error (RMSE), coefficient of determination ( R2 ), and ratio of prediction to deviation (RPD) of the proposed model have been calculated via extensive simulation of four ML algorithms. The accuracy of the prediction model of 94% for DT, 93% for RF, 90% for SVR, and 92% for KNN has been achieved. This suggested that mapping the field area’s agricultural fire content can be accomplished using the DT ML model. The study’s findings provide a valuable resource for accurate fire prediction in precision agriculture. (Figure presented) © 2025 IEEE. All rights reserved.",,No,No
Harnessing deep learning for forecasting fire-burning locations and unveiling PM2.5 emissions,"Climate change and human activity have increased fires in India. Fine particulate matter (PM 2.5) is released into the atmosphere by stubble burning in Punjab and Haryana and forest fires in the north-eastern and central areas of the country. Accurate short-term PM 2.5 estimates are essential to protect human health and reduce acute air pollution. However, global air quality forecasting methods grapple with a persistent assumption of fire emissions. They use near-real-time fire emissions throughout the prediction cycle. Air quality forecasts are prone to inaccuracies and biases due to fire emissions’ dynamic nature. We employ spatiotemporal deep learning techniques, specifically ConvLSTM and ConvGRU, to forecast fire emission locations up to three days in advance. Through our evaluation, we find that ConvLSTM outperforms ConvGRU in terms of prediction accuracy and performance. The chosen model provides a very good correlation coefficient (≈ 0.8) for the 1st day forecast and a moderate value (0.5 - 0.55) for subsequent 2nd and 3rd days forecasts. The predictors NDVI, temperature, wind, surface pressure, and total cloud cover are included to our model training to improve these correlations. In Punjab-Haryana, wind input improves results. This fire burning location prediction method could improve air quality forecasting. Our deep learning model can improve forecasts by revealing the complex interactions of components and reflecting fire emissions’ dynamic nature. This research may help improve air quality forecasts in the face of rising fire events, protecting communities across the Indian subcontinent. © 2023, The Author(s), under exclusive licence to Springer Nature Switzerland AG.",,No,No
Fire monitoring and detection using brightness-temperature difference and water vapor emission from the atmospheric infrared sounder,"Radiance data from the Atmospheric Infrared Sounder (AIRS) on board NASA's Aqua satellite provide an opportunity for fire detection. As wildfires play an increasingly great role in the environments of the United States West Coast, emergency teams face an ever-challenging task of mitigation and prediction. Furthermore, the increasing rate of wildfires in the American West Coast places an ever-increasing strain on ecosystems and global climate. Of particular interest is the ability to create effective near real-time (NRT) imaging and prediction. Advances in this field can play a crucial role in assisting wildfire detection and monitoring. Typical sources for satellite fire imaging study are the Moderate Resolution Imaging Spectroradiometer (MODIS), the Visible Infrared Imaging Radiometer Suite (VIIRS), the Advanced Very High Resolution Radiometer (AVHRR), and the Spinning Enhanced Visible and Infrared Imager (SEVIRI) instruments, but we present AIRS as complementary to these instruments with a new method of hotspot analysis. In this study, we propose a new method of fire detection by using AIRS's cloud-cleared radiance to detect hotspots and find new applications for this method of retrieval. We present the fire detection algorithm and initial assessments showing AIRS's ability to detect fires. In addition, we notice that there is more water vapor from the surface to the upper troposphere during the fire event as a result of biomass burning and an increase in air temperature. © 2024 Elsevier Ltd",,No,No
Yolo-Based Technique for Stubble Burning Detection System Using Web App,"Stubble burning is the process of clearing rice crop remnants from the field in preparation for the next crop, wheat. Combine harvesters, as we all know, leave behind crop residue. Hence, stubble burning becomes crucial in areas where the ""combine harvesting"" technique is used since it has a negative environmental impact (it is a large source of air pollution and causes the soil to lose nutrients, which increases the need for fertilizer). Therefore, it is very important to put a stop to this practice. To keep a check on these burning, we are devising a stubble burning detection system. The burning or smoke will be detected using an imaging system to capture the data and report the appropriate information by backtracking the datasets. The machine learning model will be trained using an accurate dataset of wildfires, forest fires, and existing datasets on stubble burning. The problem would be solved using a highly efficient automated system that uses neural networks which would be built using and testing different ML models. The GPS location of the affected area will be provided to the concerned department, i.e., gram panchayat and local police station, through an app for further action. © 2024, Auricle Global Society of Education and Research. All rights reserved.",,No,No
Enhanced open biomass burning detection: The BranTNet approach using UAV aerial imagery and deep learning for environmental protection and health preservation,"Open biomass burning (OBB) in agriculture presents a significant and well-documented challenge, posing severe consequences for both environmental and human health. OBB releases air pollutants that degrade air quality and contribute to climate change, leading to premature deaths in regions with high concentrations of open crop straw burning (OCSB) emissions. Although policies aimed at prohibiting OBB are in place, the efficacy of these regulations in mitigating OCSB emissions remains ambiguous. Consequently, early prevention and monitoring of open biomass combustion are imperative for environmental preservation. Traditional monitoring techniques, reliant on fixed-position cameras, are constrained by their location and monitoring intensity, making concealed fire recognition a complex problem. To address this limitation and monitor the human living environment more flexibly and accurately, we propose a new method to identify straw fires in UAV Aerial Image Using CNN Branch Reinforce Transformer which named BranTNet, enabling early detection and rapid response to crop straw fires. By integrating computer vision technology and deep learning algorithms, straw fires in UAV-acquired aerial survey images can be detected and categorized. In the realm of artificial intelligence algorithms, we skillfully merge convolution and attention mechanisms, harnessing the full potential of both methodologies. Moreover, we seamlessly incorporate transfer learning, skillfully unifying self-training convolution modules with pre-trained transformer modules. This strategic amalgamation not only minimizes time costs but also ensures optimal experimental outcomes. Regarding data, we meticulously collected a substantial number of authentic samples, ensuring the sufficiency of our experimental dataset. The experimental results demonstrate that our proposed method exhibits exceptional accuracy and robustness in detecting and identifying straw fires in UAV aerial survey images. Our approach outperforms the use of convolution or attention mechanisms alone. By integrating this approach with drone technology, we unlock the potential for developing more versatile and precise monitoring solutions, expanding the application of drones to diverse domains. This progress contributes significantly to the early detection and prevention of crop straw fires, fundamentally reducing environmental pollution, curbing carbon emissions, and advancing the cause of carbon neutrality. This innovative technique for monitoring and preventing OBB holds substantial promise in mitigating the adverse effects of OBB on the environment and human health. © 2023 The Author(s)",,No,No
