Title,Abstract,Related,Detect,Monitor,Analyze
Spatiotemporal Analysis and Anomalous Trends of Asia AOD (2001–2024): Insights from a Deep Learning Fusion Model and EOF Decomposition,"Long-term investigations of Aerosol Optical Depth (AOD) across Asia are crucial for understanding its regional impacts on the global climate system. However, satellite-derived AOD datasets frequently suffer from missing values due to factors such as cloud cover, algorithmic limitations, and various atmospheric conditions. To overcome these challenges, this study employs the deep learning model TabNet, incorporating Digital Elevation Model (DEM) data and ERA5 meteorological variables, to fuse MERRA-2 AOD with MODIS MAIAC AOD observations. The resulting integration yields a high-resolution, seamless daily AOD dataset for Asia spanning the period from 2001 to 2024. The fused dataset demonstrates significant improvements over the original MERRA-2 AOD, with an increase in the coefficient of determination (R2) by 0.1065 and a reduction in root mean square error (RMSE) by 0.0369. Spatio-temporal analysis, conducted using Empirical Orthogonal Function (EOF) decomposition, reveals that AOD concentrations across Asia are strongly influenced by anthropogenic factors, including industrial activities, transportation emissions, and biomass burning. The results indicate a generally increasing trend in AOD from 2001 to 2014, followed by a declining trend from 2015 to 2024. Notably, EOF results show a marked rise in AOD levels in Mongolia after 2020, likely attributable to an uptick in dust storm activity. This research offers valuable insights into the spatiotemporal trends of aerosols across Asia, underscoring the need for sustained air quality measures to mitigate pollution and protect public health. © 2025 by the authors.",no,No,No,No
Urban Air Quality Shifts in China: Application of Additive Model and Transfer Learning to Major Cities,"The impact of reduced human activity on air quality in seven major Chinese cities was investigated by utilizing datasets of air pollutants and meteorological conditions from 2016 to 2021. A Generalized Additive Model (GAM) was developed to predict air quality during reduced-activity periods and rigorously validated against ground station measurements, achieving an R2 of 0.85–0.93. Predictions were compared to the observed pollutant reductions (e.g., NO2 declined by 34% in 2020 vs. 2019), confirming model reliability. Transfer learning further refined the accuracy, reducing RMSE by 32–44% across pollutants when benchmarked against real-world data. Notable NO2 declines were observed in Beijing (42%), Changchun (38%), and Wuhan (36%), primarily due to decreased vehicular traffic and industrial activity. Despite occasional anomalies caused by localized events such as fireworks (Beijing, February 2020) and agricultural burning (Changchun, April 2020), our findings highlight the strong influence of human activity reductions on urban air quality. These results offer valuable insights for designing long-term pollution mitigation strategies and urban air quality policies. © 2025 by the authors.",no,No,No,No
Continental aerosol properties and absorption retrieval using random forest machine learning method specific to geostationary remote sensing,"The utilization of satellite remote sensing images for retrieving aerosol optical parameters has been extensively discussed over the past few decades. While employing machine learning models is indeed a viable approach, a significant portion of these studies still rely on redundant data. Moreover, the discussion regarding aerosol absorption, a crucial factor for determining aerosol radiative impact and distinguishing aerosol components, is limited in current machine learning studies. In this study, we propose a random forest model to retrieve high-precision aerosol properties and their absorption over land from Himawari-8 geostationary satellite images. Remarkably, this model attains a high degree of accuracy in estimating aerosol optical depth (AOD), absorption aerosol optical depth (AAOD), and single scattering albedo (SSA) of heavy air mass using only seven primary predictors (observational radiances or their mathematical combinations, geometries, and wavelength). For AOD, the new random forest model demonstrates excellent performance on an hourly scale (R2 ≥ 0.89, MAE < 0.07, RMSE <0.13), >80% of the samples fall within the expected error (EE) range. Concerning AAOD, the validation indicates that at least 65% of AAODs have a bias of ≤50%, with an R2 exceeding 0.78, MAE ≤ 0.008 and RMSE ≤0.016. SSA also demonstrates a high accuracy (R2 ≥ 0.57, MAE < 0.03, RMSE <0.05), with >70% of the results have an error ≤ 0.03. Through more comprehensive independent spatiotemporal cross validation, it can be determined that the model also offers reliable spatial and temporal predictions. The proposed RF model is capable of learning aerosol properties under most atmosphere scenarios, providing a reasonable conversion from predictors to AOD and AAOD/SSA under high aerosol loadings. The spatial patterns of these parameters suggest that the retrievals show considerable potential in capturing high aerosol loading in East Asia and biomass burning in Southeast Asia. The method introduced in this study offers a new approach to obtaining aerosol properties from geostationary satellite remote sensing, featuring a flexible process, simple inputs, high accuracy, and enhanced robustness. Additionally, it furnishes supplementary insights into aerosol absorption, presenting new possibilities in determining aerosol radiative impact and distinguishing aerosol components. © 2024 Elsevier Inc.",no,No,No,No
"Comparison of PAH mass emissions and their toxicity-weighted trends in China, 2000–2022","Polycyclic aromatic hydrocarbons (PAHs) emissions are often used as direct evidence for subsequent environmental monitoring, governance, and policy-making. However, the toxicity among individual PAH varies significantly, causing their toxicity-based risk to be overlooked. The analysis revealed that total PAH emissions (EΣPAHs) has peaked in 2007 (i.e., 1.1 × 105 t), then declined to 2022 (i.e., 7.4 × 104 t) in China. However, the toxicity-weighted PAH emissions (EΣTEQ) has not decreased, because the emissions of high molecular weight PAH (EΣHPAHs) with high toxicity has not decreased, although the emissions of low molecular weight PAH (EΣLPAHs) with low toxicity has decreased significantly. It was verified that the trend of variation in PAH emissions is comprehensively determined by the decrease in biomass and increase in fossil fuel consumption. The decline in EΣLPAHs from biomass burning exceeded emission increases attributable to fossil fuel combustion, driving an overall reduction in total LPAHs post-2007 of China. In contrast, EΣHPAHs exhibited temporal variability after 2007, as emission reductions from biomass burning were offset by comparable increases from fossil fuel. Despite efforts to reduce emissions of conventional atmospheric pollutants, EΣTEQ have not decreased due to the rising fossil fuel consumption and limited pollution control efficiency on EΣHPAHs. The findings addressed the gap between PAH mass emissions and their toxicity-weighted trends, which enabled us to pay attention to the variation of EΣTEQ for accurate risk management to any region with shifting PAH source profiles. Moreover, emphasis should be placed on transitioning fossil fuel consumption to clean energy and implementing effective measures to reduce EΣHPAHs in flue gas, such as adsorption and degradation. © 2025 Elsevier B.V.",no,No,No,No
"Climatology, trend and correlations of aerosol, cloud and meteorology over the climatologically important monsoon and adjacent northern regions of Pakistan","Quantifying changes in aerosols, cloud characteristics, and their correlations on both spatial and temporal scales is essential for understanding future climate changes. In this study, 11 years (2009–2019) of aerosol, meteorological, and cloud datasets are analyzed to evaluate climatology, trends, and their relationships over the climatologically important core monsoon- (R1) region and the adjacent high-altitude northern (R2) region of Pakistan. The study utilizes Modern-Era Retrospective Analysis for Research and Applications version 2 (MERRA-2) data for aerosol optical depth (AOD) and Angstrom Exponent (AE), CLARA-A3 data for liquid cloud properties such as cloud droplet effective radius (CER), cloud optical thickness (COT), cloud droplet number concentration (CDNC), cloud geometrical thickness (CGT), and liquid water path (LWP), and ERA-5 data for meteorological variables at a spatial resolution of 0.25° × 0.25°. Negative trend in AE over both the R1 and R2 regions (−5 % and −10 %) are observed which could be due to deforestation, increasing temperature, and changing precipitation patterns that may disturb the dust activity and monsoon circulations. The concurrent increasing trend in AOD (12.4 %) and Aerosol Index (AI) (3.2 %) is observed over R1, likely driven by rapid urbanization, industrialization, and biomass burning. Conversely, a decreasing trend in AOD (−7.0 %) and AI (−14.14 %) is observed over R2, possibly due to anthropogenic emission control policies in China, that reduces aerosol inflow in remote areas, including the high-altitude R2 region. Positive trends are observed in CDNC, CER, CGT, COT, and LWP, with percent changes of 9.2 %, 20.7 %, 4.06 %, 6.7 %, and 10.7 % over R1 region and 34.7 %, 5.4 %, 16.98 %, 21.9 %, and 24.8 % over R2 region, respectively. Meteorological variables, including mixing ratio (q), geopotential (z), convective available potential energy (CAPE), horizontal wind speed at 10 m above the surface (si10m), dew point temperature at 2 m (d2m) and temperature at 2 m (t2m), show positive trends over both R1 and R2 regions. Correlation analysis reveals positive AOD-CDNC and negative AOD-CER relationships in both regions. In contrast, AI-COT, AI-CGT and AI-LWP correlations are negative (−0.13, −0.26 and −0.20) over R1 region but insignificant weak negative AI-CGT (−5.7 × 10−6) and positive AI-COT (0.099) and AI-LWP (0.061) are observed over R2 region. The contrasting behavior of AI-COT and AI-LWP correlations can be attributed to the difference in cloud regime and meteorological conditions over the R1 and R2 regions. The results of this study provide critical insights into aerosol-cloud-meteorology interactions, with implications for regional climate modeling, monsoon variability, and future climate projections. The findings also contribute to global aerosol-cloud research by emphasizing the importance of region-specific mechanisms in shaping aerosol-cloud interactions. © 2025 Elsevier B.V.",no,No,No,No
Study on global atmospheric aerosol type identification from combined satellite and ground observations,"Accurate identification of aerosol types is essential for understanding the radiative properties of aerosols and further studying aerosol regional and global climate effects. However, aerosol type identification studies combining satellite and ground observations are rare. In this paper, an aerosol type identification model based on aerosol relative optical depth (AROD) and volume depolarization ratio (VDR) is developed by effectively matching satellite and ground observation data. The accuracy and applicability of the new model are verified by typical AERONET sites with dominant aerosols, and the spatial distribution characteristics of aerosol types in global continents are also studied and analyzed with joint observation data from 2018 to 2023 globally. The results show that the East Asian continent, North America, and Europe are the main source regions for continental aerosol emissions. Among the continents, densely populated East/Southeast Asia is more heavily polluted by anthropogenic aerosols than other continents, while North America and Europe are relatively less polluted. The Indo-China Peninsula, central and southern Africa, central South America, and central and northern North America are the main source emission regions of global biomass burning aerosol, while northern Africa, West Asia, and Central Asia emit most of the global dust and polluted dust aerosols. Additionally, marine aerosols are more frequent along the east coast of North America, the west coast of Africa, the Malay Archipelago, and some island sites. The present study provides a basis for aerosol type identification using joint observation data and effectively promotes research in related fields. © 2025 Elsevier Ltd",yes,No,No,Yes
Release of Organochlorine Pollutants from Forest Fires: 1. Emission Factors and Revisiting Their Emissions in the Himalayan Regions,"Worldwide forest fires have occurred frequently in recent years, a result of which may be the emission of so-called “legacy” organochlorine pollutants (OCPs) accumulated in forests. However, few studies have measured the emission factors (EFs) of the toxicity of the OCPs from forest fires. In this study, the EFs of vegetation burning were observed in forests along the altitudinal gradient from 1000 to 4200 m, and the EFs of ∑DDTs (dechlorodiphenylthrichloroethanes), HCB (hexachlorobenzene), ∑HCHs (hexachlorocyclohexanes), and ∑PCBs (polychlorinated biphenyls) were 2050 ± 1175, 379 ± 409, 48 ± 51, and 65 ± 59 ng/kg, respectively. Re-evaporation was the primary mechanism of the emission of OCP from forest fires. The masses of HCB, β-HCH, o,p′-DDD, p,p′-DDD, and PCB-28 in smoke increased 3-7 times compared with those in unburnt vegetation, suggesting the formation of these pollutants by the pyrolysis of biomass or other pollutants. Based on the observed EFs, previously estimated quantities of fire-emitted OCPs in the Himalayan regions were revisited. The DDT emissions from the Himalayan forest fires increased ∼70% compared with the previous estimation (from 19 to 32 kg/year). This highlighted that the EF observations could decrease the uncertainties of estimating OCP emissions from forest fires, which is helpful in revealing the potential roles of forest fires on global POP cycling. © 2024 American Chemical Society.",no,No,No,No
Critical review of air pollution contribution in Delhi due to paddy stubble burning in North Indian States,"The application of diverse methods/tools (satellite data, ground-based monitoring and dispersion modelling) for quantitative assessment of air pollution has created a critical challenge for policymakers, in understating the actual stubble burning contribution in North Indian states including Punjab, Haryana, Delhi and western Uttar Pradesh. Considering the variations in monitoring sites, quantified emissions, satellite data resolutions, parameterization schemes, meteorology and/or adopted models, huge differences in the source contribution are reported. Considering these ambiguities, the present study is an attempt to review the studies revealing actual paddy stubble burning contribution to air quality of Delhi conducted year 2015 onwards; one year before the severe episodic smog event of November 2016. A total of 114 articles were searched using different keywords for subsequent in-depth analysis. The biomass burning share was broadly studied for winter, summer and post-monsoon seasons. Further, to understand the season-specific nature of the paddy stubble burning activity, the analysis was restricted to post-monsoon months. A co-occurrence keyword network analysis was performed based on which biomass/stubble burning related studies were divided into three clusters based on i) source apportionment using receptor modeling, ii) satellite data (AOD values coupled with ground-based observation and wind back trajectory and, iii) regional scale chemical transport modeling approach. Some studies were generalized displaying correlation patterns, some used only fire count data and correlated with AOD while some used either satellite data or regional scale models. Learning from the gap analysis of the reviewed studies led to the development of an integrated assessment protocol to quantify the stubble-burning contribution in the region. © 2025 Elsevier Ltd",yes,No,No,Yes
Modeling the impacts of open biomass burning on regional O3 and PM2.5 in Southeast Asia considering light absorption and photochemical bleaching of Brown carbon,"Open biomass burning in Southeast Asia has significant adverse impacts on air quality in the region and in downwind areas. These biomass burning events emit large amounts of light absorbing brown carbon (BrC). Once in the atmosphere, the light absorbing capacity of BrC is reduced by various oxidation processes. However, few modeling studies have been conducted to explicitly examine light absorption and bleaching on the prediction of ozone (O3) and fine particulate matter (PM2.5). In this study, a modified Community Multiscale Air Quality (CMAQ) model that explicitly tracks the concentrations of light absorbing and non-light absorbing organic aerosol components from different emission sources and the bleaching of BrC due to photooxidation and OH oxidation is applied to widespread open biomass burning events in March 2018 in Southeast Asia. Open biomass burning accounts for as much as 20–40 ppb (30–50%) of the maximum daily average 8-h ozone (MDA8 O3) and 40–120 μg m−3 (60–90%) of the daily average PM2.5 in the emission source regions. Compared to a simulation without BrC light absorption, the predicted MDA8 O3 and PM2.5 are as much as 16 ppb and 16 μg m−3 lower, respectively, than a simulation with light absorption. This confirms that neglecting the UV light absorption of BrC can lead to significant overpredictions of O3 and PM2.5 during the open biomass burning periods, which may lead to an overestimation of the adverse impacts of biomass burning on public health in Southeast Asia. The addition of BrC bleaching results in a 0.5–1% increase in MDA8 O3 and 1–5% increase in PM2.5 compared to the case without BrC bleaching. The results of this study indicate that light absorption by BrC needs to be considered in chemical transport modeling of large open biomass burning events. The BrC bleaching process is relatively slow and neglecting this process does not significantly change the predictions of MDA8 O3 and PM2.5 during open biomass burning. © 2024 Elsevier Ltd",yes,No,No,Yes
The Lack of Real-Time Air Pollution Monitoring in Africa Supports Environmental Injustice,"Poor air quality has become a daily occurrence throughout much of Sub-Saharan Africa because of urbanization, emission sources from transportation, industrial pollution, energy extractive industries, seasonal dust storms, and biomass burning at local and regional scales. Additionally, elements of environmental injustice exist requiring observations near emission sources. The lack of real-time measurements of air quality limits actions to understand, predict, and protect the public, especially vulnerable populations. Low-cost measurements can provide real-time data, and data from 2021–2022 suggest negative pulmonary health implications. Low-cost observations increase science capacity to enabling analysis and publishing of work for air quality by African scientists. © Mary Ann Liebert, Inc.",no,No,No,No
Analysis of Aerosol Optical Mixing Using the EOMOS Model From Typical AERONET Sites,"Satellite remote sensing predominantly employs optical properties for aerosol classification, often neglecting aerosol mixing and lacking validation accuracy. This study defines five aerosol types: marine, continental, dust, urban-industrial, and biomass-burning. Proposing the external optical mixing optimization solver (EOMOS) model based on the external mixing assumption, the model's accuracy is enhanced by approximately 95.0% through constraints and optimization. Perturbation experiments on particle size distribution and complex refractive index validate the model's robustness. The EOMOS model analyzes aerosol mixing states, and quantifies contributions to aerosol optical depth (AOD) for each aerosol type, surpassing traditional methods by at least 139.7%. Additionally, the EOMOS model examines trends in aerosol type AOD, revealing a noticeable post-2013 reduction in AOD of urban-industrial aerosols in Beijing, suggesting pollution mitigation. In Brazil, urban-industrial and biomass-burning aerosol AODs were 328.1% and 107.7% higher in 2005, 2007, and 2010, primarily due to fire impact. © 2024. The Author(s).",yes,No,No,Yes
