Title,Abstract,Related
Blockchain-based isotopic big data-driven tracing of global PM sources and interventions,"Tracing sources and assessing intervention effectiveness are crucial for controlling atmospheric particulate matter (PM) pollution. Isotopic techniques enable precise top-down tracing, but the absence of long-term, global-scale multi-compound isotopic data limits comprehensive analysis. Here, we establish a blockchain-based isotopic database, compiling 34,815 isotopic fingerprints of global PM and its emissions from 1,890 pollution events across 66 countries. This allows retrospective analysis and predictions, revealing that PM sources are distinct, dynamically changing over time, and often asynchronous with interventions. Additionally, we estimate source contributions to PM2.5 and its compounds, highlighting the increasing impact of biomass burning. Furthermore, projections indicate that by 2100, PM levels may decline to 5.38 Â± 0.16 Î¼g/mÂ³ in the Americas and 13.9 Â± 1.82 Î¼g/mÂ³ in Asia under climate mitigation scenarios but will still exceed WHO guidelines without further controls on natural emissions. Guiding future interventions with isotopic big data is essential for addressing air pollution challenges. Â© The Author(s) 2025.",
Using AOD and UVAI to Reduce the Uncertainties in Wildfire Emission and Air Quality Modeling,"Wildfires are a major natural source of atmospheric aerosols, leading to air quality degradation and adverse human health effects. Accurate prediction of air quality effects from wildfires remains challenging due to uncertainties in fire emission estimates. To enhance the accuracy of fire emissions used in air quality forecast models, we developed a method that utilizes satellite aerosol optical depth (AOD) observations and air quality simulations to calculate dynamic emission scaling factors and improve wildfire air quality forecasts. TROPOMI (TROPOspheric Monitoring Instrument) UV Aerosol Index (UVAI) data are employed to fill AOD gaps under thick smoke using two approaches: a regression model and an artificial intelligence model. The scaling factor method was applied to NOAA blended Global Biomass Burning Emissions Product. The emission scaling factors exhibited significant variability across different fire points, highlighting the need for point-specific scaling factors. On average, scaling factors were less than 1.0 (indicating emission overestimation) during the initial stages of fire events but exceeded 1.0 (suggesting underestimation) after 7Â days of fire duration. An inverse relationship between scaling factors and fire radiative power (FRP) was observed, with emission underestimation for low-intensity fires (FRP <5Â MW) and substantial overestimation for high-intensity fires (FRP >500Â MW). The improved fire emissions were employed in the air quality model for the 2020 US Gigafire event. Utilizing emission scaling factors reduced model bias, increased the correlation and hit rate of PM2.5 exceedance prediction, demonstrating the potential of using emission scaling factors for improving air quality forecasting during wildfire events. Â© 2025 The Author(s).",
Current Status of Aerosol in the Northern Key Economic Zone of Vietnam and Identification of Region Affecting Hanoi's Air Quality,"The Northern Key Economic Zone (NKEZ) of Vietnam, a critical region for national development, experiences significant particulate matter pollution. This study investigates aerosol pollution and its transboundary effects across the NKEZ by integrating the Modern-Era Retrospective Analysis for Research and Applications, Version 2 (MERRA-2) dataset and the Hybrid Single-Particle Lagrangian Integrated Trajectory (HYSPLIT) model. The results reveal: (1) Anthropogenic aerosols exhibit statistically significant upward trends (p < 0.05), with sulfate concentrations ranging from 7.59 to 9.29Â Î¼g.mâˆ’3 and organic carbon from 4.79 to 10.87Â Î¼g.mâˆ’3; (2) MERRA-2 captures PM2.5 seasonal trends, with correlation coefficients (p < 0.01) of 0.83 in spring and 0.71 in winter, though it significantly underestimates PM2.5 level in winter in Hanoi; (3) combined analyses of trajectory frequency and pollution concentration correlations delineate five levels of impact (level 1â€“5, from minimal to very high) on Hanoiâ€™s air quality and identify key black carbon (BC) source regions. These include coal-fired power plants in Thai Binh, Thanh Hoa (levels 3â€“4, in spring), biomass burning in east-northern mountainous region of Vietnam (levels 4â€“5, in autumn), biomass burning in central-southern Laos (levels 2â€“3, peak Fire Detection Counts in Marchâ€“April) and transboundary contributions from central-southern China (levels 2â€“3, in autumn). The integration of MERRA-2 and HYSPLIT establishes a robust methodology for classifying pollution sources affecting Hanoi, providing a technical framework for future regional air quality investigations. Â© The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025.",
Global Horizontal Irradiance Prediction Model Based on Mixed Spatial Information and Aerosol Classification,"Reliable and accurate predictions of solar radiation are essential for the supervision and operation of solar photovoltaic power generation systems. As the primary media involved in atmospheric radiation transfer, aerosols significantly influence global horizontal irradiance (GHI). The composition, shape, and number density distribution of aerosols vary greatly, resulting in significant differences in their optical properties, which in turn affect solar radiation in different ways. This study aims to explore the impact of different types of aerosols on predicting GHI. First, we expanded the data within a fixed region by incorporating spatial information to supplement the timescale data. Furthermore, we used the Informer model to forecast the GHI in different regions, inputting historical data on aerosol optical depth (AOD), meteorological parameters, and GHI. Finally, we used an aerosol classification model to classify aerosols in different regions and calculated the GHI predictions for different aerosol types. The findings suggest that aerosol classification impacts the predictive performance of the GHI. When continental and subcontinental aerosols dominated, the predictive performance of the GHI improved. When biomass-burning aerosols dominate, the predictive accuracy of the GHI reduced. Â© 2025 The Author(s). Energy Science & Engineering published by Society of Chemical Industry and John Wiley & Sons Ltd.",
Hybrid machine learning to enhance PM2.5 forecasting performance by the WRF-Chem model,"The weather research and forecasting with chemistry (WRF-Chem) model had been widely used in PM2.5 concentration forecasting. However, uncertainties in global emission inventories, meteorological data, and simplified chemical parameterizations continue to pose challenges. We evaluated the performance of the original WRF-Chem model and three models augmented with machine learning (ML) algorithms, i.e. Long Short-Term Memory (LSTM), Extreme Gradient Boosting (XGBoost) and XGBoost-LSTM (Hybrid) approaches, to enhance forecasting accuracy. The ML models were trained and tested using dataset from WRF-Chem-simulated meteorological and pollutant data at four monitoring stations in southern Thailand during the year 2019â€“2020. The WRF-Chem-Hybrid model significantly improved all metrics in the original WRF-Chem results - with R2 increasing from insignificant to 0.90 or more, RMSE decreasing from 7.00-15.17 Î¼g/m3 to 1.34â€“3.47 Î¼g/m3, and MAE decreasing from 5.52-10.55 Î¼g/m3 to 0.79â€“1.49 Î¼g/m3. The validation test during the entire 2021 performed well, with R2 = 0.94â€“0.96, RMSE = 1.56â€“2.48 Î¼g/m3 and MAE = 1.01â€“1.56 Î¼g/m3. The WRF-Chem-Hybrid model forecast PM2.5 concentrations for 72 h in advance, with R2 = 0.70â€“0.89, RMSE = 4.64â€“11.99 Î¼g/m3, and MAE = 3.07â€“8.38 Î¼g/m3. Thus, the hybrid model is suggested for forecasting PM2.5 concentrations over southern Thailand and other regions up to 72 h in advance. Overall, this study demonstrated the advantages of augmenting the WRF-Chem model to form hybrid ML models to more accurately forecast PM2.5 levels, their distribution and evolution over time, particularly in regions where PM2.5 levels were affected by open biomass burning from both local and cross-border emissions. Â© 2025 Turkish National Committee for Air Pollution Research and Control",
Interventions for reducing exposure to air pollution from landscape fires in a changing environment: A systematic review,"Emissions from more frequent and prolonged landscape fires (wildfires, risk reduction fires, agricultural burning) can expose populations to high levels of air pollution and exacerbate a range of health conditions. This systematic review aims to map, evaluate, and synthesise the scientific literature reporting interventions that can reduce exposure to landscape fire smoke (LFS). Using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, we searched PubMed, Scopus and Web of Science and reviewed relevant literature published until March 2024. Thirty-three studies from four countries met the eligibility criteria. Of the interventions evaluated, air filtration was the most frequently reported, and included use of portable air cleaners (PACs) with high efficiency particulate air (HEPA) filters, ventilation systems with standard and upgraded filters, and low-cost fan filter units (FFU). The effectiveness of PACs for fine particulate matter (PM2.5) reduction ranged between 54 %â€“92 %. In naturally ventilated residences, concentrations of PM2.5 were 0â€“44 % lower indoors, and depended on the duration of LFS, building operation, and permeability. Mechanical ventilation with minimum efficiency reporting value (MERV) 5/8 filters in buildings reduced LFS PM2.5 levels by 18â€“58 %; however, use of higher rated filters (e.g., MERV 12/13) achieved reductions of up to 87 %. Communication interventions, including smartphone apps and alerts/messages from various media sources (e.g., radio, television, internet) had mixed results; nevertheless, inclusion of spirometry and asthma control surveys during app use could improve health outcomes for vulnerable groups. The efficacy of facemasks (N95/P2) was up to 94 % for single pass PM2.5 removal, although they were relatively underutilised. Clean air shelters in public buildings can potentially provide a place for exposure reduction and social support, but have not been sufficiently tested during LFS events. Further research is needed on the effectiveness of interventions during prolonged smoke events, and in low- and middle-income countries. Â© 2025",
Sources and formation of fine size-fractionated particulate matters during smoke haze episode in Northern Thailand in relation to polycyclic aromatic hydrocarbons and carbonaceous composition,"Air pollution in upper Southeast Asia (SEA) has become critical particularly regarding atmospheric particles. This study aims to investigate the sources and formation of fine size-fractionated particulate matters (FSPMs), as well as their potential impact on climate. Particulate matter in three size ranges (2.1â€“1.1 Î¼m, 1.1â€“0.65 Î¼m, and 0.65â€“0.43 Î¼m) was collected using cascade impactors in rural Chiang Dao (CD) and urban Chiang Mai (CM) during the smoke haze period (Marchâ€“April 2019) in Chiang Mai, Thailand. The average concentration of FSPM was approximately 1.3 times higher in rural CD (88 Â± 34 Î¼g/mÂ³) than in urban CM (66 Â± 26 Î¼g/mÂ³). Both areas showed significantly higher concentrations of finer particles, with rural CD detecting 41 Â± 17 Î¼g/mÂ³ (46% of FSPM) and urban CM presenting 27 Â± 11 Î¼g/mÂ³ (41% of FSPM). Total carbon (TC) concentrations, including organic carbon (OC) and elemental carbon (EC), showed the same pattern as PMs. The most abundant fractions, including OC3 (32â€“45% of total OC) and EC1 (91â€“100% of total EC) in FSPM samples, particularly in fine particles (PM1), suggest that biomass burning was the primary source. Source classification based on diagnostic ratios of polycyclic aromatic hydrocarbons (PAHs), OC/EC ratios, combined with primary and secondary formations, revealed that PM2.1-1.1 was influenced by biomass burning and secondary organic carbon (SOC), while PM0.65-0.43 originated from both SOC and vehicular emissions. PM1.1-0.65 in the rural area was probably caused by SOC and other mixed sources, whereas SOC and vehicular emissions were the main source in urban CM. With respect to the effective carbon ratio (ECR), lower values were observed in finer particles (0.37 Â± 0.15 in rural CD and 0.36 Â± 0.38 in urban CM), suggesting enhanced light-absorbing properties of fine particulate matter during the haze period in the upper SEA region. Â© 2024 Elsevier Ltd",
Aerosol Characteristics Over an Eastern Indian City Using Sun Photometer Observations and Machine Learning Frameworks,"This study focuses on aerosol properties and their classification in the eastern Indian city of Rourkela, using six years of Microtops II sun photometer data. Aerosol optical depth (AOD) exhibits unique increasing trends from 2017 to 2022, irrespective of seasons. The Ã…ngstrÃ¶m Exponent (AE) values indicate the predominance of fine-mode aerosols in winter, pre-monsoon, and post-monsoon months due to high fossil fuel and biomass burning emissions. However, a marginal drop in the AE values is seen during monsoon due to the long-range transport of coarse-mode natural aerosols from the neighboring oceans and arid regions. The single scattering albedo (SSA) values reveal a dominance of absorbing aerosols during winter and post-monsoon months, while indicating a mix of particle types in the pre-monsoon and monsoon periods. The dominance of sea salt aerosols and wet removal of finer absorbing particles during monsoon season result in higher SSA values. A shift in fine particle dominance is found in the inter-annual variabilities, wherein these particles are gradually acquiring scattering characteristics aligning with the regional trend in recent times. Aerosols are classified into urban, biomass-burning, desert, and marine types based on AOD-AE variability. The existence of biomass-burning aerosols is found to dominate over Rourkela, irrespective of seasons. While urban aerosols are usually dominant in winter and post-monsoon due to anthropogenic activities, transported desert dust aerosols show dominance during the pre-monsoon and monsoon seasons. Long-range transport across different atmospheric levels are realized to play important role in modulating aerosol variability. The forecasted values realized through the â€˜Linear Regressionâ€™ model also indicated a similar trend for the pre-monsoon and monsoon seasons. However, the winter AOD values are expected to increase in the succeeding years. The research sheds light on aerosol properties, their origins, and interactions with the prevailing meteorology, and future projection, providing useful information for urban air quality management. Â© The Author(s) under exclusive licence to Institute of Earth Environment, Chinese Academy Sciences 2025.",
Effect of Biomass Burnings on Population Exposure and Health Impact at the End of 2019 Dry Season in Southeast Asia,"At the end of the dry season, from early March to early April each year, extensive agricultural biomass waste burnings occur throughout insular mainland Southeast Asia. During this biomass-burning period, smoke aerosols blanketed the whole region and were transported and dispersed by predominant westerly and southwesterly winds to southern China, Taiwan, and as far southern Japan and the Philippines. The extensive and intense burnings coincided with some wildfires in the forests due to high temperatures, making the region one of the global hot spots of biomass fires. In this study, we focus on the effect of pollutants emitted from biomass burnings in March 2019 at the height of the burning period on the exposed population and their health impact. The Weather Research Forecast-Chemistry (WRF-Chem) model was used to predict the PM2.5 concentration over the simulating domain, and health impacts were then assessed on the exposed population in the four countries of Southeast Asia, namely Thailand, Laos, Cambodia, and Vietnam. Using the health impact based on log-linear concentration-response function and Integrated Exposure Response (IER), the results show that at the peak period of the burnings from 13 to 20 March 2019, Thailand experienced the highest impact, with an estimated 2170 premature deaths. Laos, Vietnam, and Cambodia followed, with estimated mortalities of 277, 565, and 315 deaths, respectively. However, when considering the impact per head of population, Laos exhibited the highest impact, followed by Thailand, Cambodia, and Vietnam. The results highlight the significant health impact of agricultural waste burnings in Southeast Asia at the end of the dry season. Hence, policymakers should take these into account to design measures to reduce the negative impact of widespread burnings on the exposed population in the region. Â© 2024 by the authors.",
Biomass burning in Peninsular Southeast Asia intensifies meteorological drought in Southwest China,"Biomass burning in Peninsular Southeast Asia (BBâ€“PSEA) affects the climate in downwind regions, especially precipitation (PRE) in southern China. However, the impact of BBâ€“PSEA on the meteorological drought in Southwest China (SWC), where closes to PSEA and often occurs seasonal drought, have not been clear yet. We selected a severe drought event in SWC from January to April 2010 and conducted sensitivity simulations using WRFâ€“Chem (Weather Research and Forecasting model coupled with Chemistry) to evaluate the impact of BBâ€“PSEA on the meteorological drought in SWC. Comparisons with observations revealed that the model performed well in simulating the spatiotemporal evolution of the drought in SWC. BBâ€“PSEA increased the drought severity by 0.01â€“0.75 levels, enlarged drought areas by about 10%, and prolonged the drought duration mainly by one month in SWC. The impact of BBâ€“PSEA on the drought in SWC in March/April was almost tenfold that in January/February, due to the higher emissions of BBâ€“PSEA in March/April. The mechanism that BBâ€“PSEA influenced drought predominantly involved the reduction of PRE, potential evapotranspiration (PET), and moisture fluxes in SWC. BBâ€“PSEA aerosols warmed the air at 600â€“800 hPa and cooled the air near the surface in SWC, which stabilized the atmosphere and suppressed PRE and reduced PET in SWC. BBâ€“PSEA aerosols also increased the sea surface temperature in South China Sea and the geopotential heights in the north of the Bay of Bengal, where the moisture sources of SWC originated from. This perturbation reduced the moisture fluxes across the west and south boundaries of SWC, resulting in the reduction of the water vapor content and PRE in SWC. Through elucidating the impact of BBâ€“PSEA on the drought in SWC, this study clarified how BBâ€“PSEA affected the climate in the downwind region and provided new understanding for drought prediction in SWC. Â© 2024 Elsevier B.V.",
