Title,Abstract,related,prevent,monitor,analyze
Insights from an Integrated LC-MS/MS and Machine Learning Analysis into the Role of Long-Chain CHO-Containing Compounds in Ambient Light-Absorbing Aerosols,"Fossil fuel combustion, biomass burning, and cooking are major emission sources of urban organic aerosols, which have a significant impact on human health and global radiative forcing. This study collected ambient PM2.5 in Shanghai, China, along with particulate matter from biodiesel/diesel-fueled vehicles, bio-oil pyrolysis, and laboratory-scale experiments conducted using a Miniature Combustion Aerosol Standard (lab-MINICAST) experiments. Targeted MS/MS using HPLC-Q-TOF-MS methodology and machine learning were applied to investigate and decode the light-absorbing chromophores of methanol-extracted organic aerosols. The results showed emissions from biomass burning and vehicles are the main contributors to ambient organic aerosols. CHO compounds accounted for the largest proportion. A fraction of the identified light-absorbing chromophores were long-chain CHO-containing compounds, including fatty acids (C18H34O2, C18H32O2, C16H30O2, C5H8O2, and a subset of CnH2nO2 (12 < n < 25)) and fatty acid methyl esters (FAMEs, the remaining CnH2nO2 (12 < n < 25)) originatimg from vehicle emissions, accounting for 65.256% of the organic aerosol light-absorbing during nonbiomass burning days, but only accounting for 7.12% of the CHO compounds and 3.06% of the organic aerosols. Long Short-Term Memory (LSTM) models revealed that all the light-absorbing molecules of the methanol-extracted samples identified in this study typically exhibit higher weights of atomic around oxygen-containing functional groups (>0.5), contrasting with non-light-absorbing substances, which display more uniformly distributed lower atomic weights. This may provide some explanation for the light-absorbing ability of fatty acids and FAMEs. © 2024 American Chemical Society.",,,,
Multifactorial analysis of the relationship between combustion propagation in solid fuels and the BZ burning class number,"Knowledge of the industrial safety of solid fuels is crucial for risk mitigation in conventional and alternative energy generation. This study investigates the relationship between combustion propagation and flame transmission, quantified by the Brennzahl (BZ) Burning Class Number, and physicochemical properties of biomass and coals. The analysis is based on solid fuel characterisation through thermogravimetric analysis (TGA), proximate and elemental analysis, and combustion indices. Seven biomass samples (including olive-derived materials, wood, almond shell, wheat straw, cork, and soya) and three coal samples (charcoal, bituminous coal, and anthracite) were analysed. Proximate analysis was conducted experimentally, while ultimate analysis was modelled using a neural network. The results were classified within Van Krevelen diagram ranges. Significant correlations were found between the BZ Number (1–6) and various physicochemical and thermal parameters, notably volatile matter content (particularly for biomass), oxygen percentage, and combustibility index (CI), showing a strong correlation between CI and BZ (R2 > 0.87). Distinctive trends between biomass (BZ 3–5) and coal (BZ 1–3) highlight these parameters' influence on flame and combustion propagation. This multifactorial analysis provides a deeper understanding of the flame propagation governing mechanisms in solid fuels, offering valuable insights for risk assessment and the design of safety measures in industrial environments. © 2024 Elsevier Ltd",,,,
Unveiling the source contributions of fine and coarse particulate matter using PM-bound metals and PMF-AI modeling,"Particle pollution is a critical global concern with significant implications for public health and the environment. Both fine (PM2.5) and coarse (PM2.5-10) particles exhibit diverse compositions and origins, leading to distinct health and environmental consequences. In this study, K-means clustering was employed to differentiate between local, regional, and long-range transport (LRT) sources, showing that LRT significantly increases PM2.5-10 levels, leading to a more than 1.26-fold rise in its annual mean concentration. Using Positive Matrix Factorization (PMF) model, we identified five local and regional source of PM2.5 and four in case of PM2.5-10. Further, AutoML model explains up to 70 % and 71 % of the daily variance in PM2.5 and PM2.5-10, respectively. The complex relationship of these sources was explained using SHapley Additive ExPlanations (SHAP). Among the five major factors identified, SHAP analysis reveals that oil combustion (24 %), coal burning (18 %), and non-ferrous metal smelting/biomass burning (17 %) are the predominant contributors to PM2.5. In contrast, ocean spray (28 %) is identified as a significant source of PM2.5-10 pollution followed by oil, non-ferrous metal smelting/biomass burning (20 %) and traffic related emission (14 %). This study offers a novel and comprehensive methodology for identifying the distinct sources of fine and coarse particulate matter. It provides valuable insights that can inform future policies and regulations, particularly in regions facing challenges related to PM pollution. © 2025 Turkish National Committee for Air Pollution Research and Control",,,,
The influence of mixed layer depth along the course of incoming air masses to the transport of PM10 components at three rural sampling sites in Spain,"The main objective of this research, was to incorporate Mixed Layer Depth (MLD) estimations across backward air mass trajectories to the broadly used Trajectory Sector Analysis (TSA) and Concentration Weighted Trajectory (CWT) methods, in order to attain a three-dimensional (3D) identification of aerosol transport pathways and to reveal the role of the Mixed Layer (ML) on the transferring of particulates. The developed 3D-TSA and 3D-CWT tools, were combined with daily concentrations of PM10-bound SO42−, NO3−, Na+, Mg2+, Ca2+ and K+ measured at three rural sampling sites in Spain during the years 2019–2020. Vertically extended Saharan dust intrusions from North Africa were associated with air masses travelling both inside and outside the ML and were related to increases of PM10-bound SO42− and Ca2+ at all stations, attributed to the reactions of mineral dust with gaseous precursors of SO42− such as SO2. The advection of sea salt particles, marked by high levels of Na+ and Mg2+, was associated with marine air masses from the Mediterranean and Atlantic Ocean, moving mainly within the ML. Enhanced levels of PM10 constituents emitted by anthropogenic sources, such as NO3− (traffic and industrial emissions) and K+ (biomass burning), were clearly related to air masses originating from Iberian Peninsula, Central Europe and North African coastline, whilst in most cases the strongest contributions were transferred by air masses moving above the ML. Therefore, the implemented 3D version of TSA and CWT methods, revealed new information regarding the altitudinal characteristics of air masses affecting PM10 levels in Spain. © 2025 Elsevier B.V.",,,,
Concurrent Formation of Low-Maturity EC and BrC in Biomass and Coal Burning: O-PAH as a Precursor,"Black carbon (BC) significantly influences climate change through light absorption. Traditional emission inventories equate BC with elemental carbon (EC) and overlook the variability in its properties across sources, leading to uncertainties in climate predictions. This study shows that EC from solid fuel combustion contains substantial low-maturity EC (char), whose emissions increase alongside the light absorption of soluble organic carbon (OC) as the fuel aromaticity rises. Concurrently, the abundance of oxygenated polycyclic aromatic hydrocarbons (O-PAHs) in soluble OC also increases. This suggests that char and brown carbon (BrC) share similar formation pathways with O-PAHs as key precursors. Time-resolved analysis during combustion cycles revealed a significant positive correlation between O-PAHs, the light absorption of soluble OC, and char emissions, further supporting this shared pathway. The nonbonding orbitals in BrC and char facilitate n → π* transitions in the visible region, which are more wavelength-dependent than the π → π* transition in high-maturity EC (soot). This study highlights char as a light-absorbing intermediate, influencing light absorption of EC emitted from solid fuel combustion. These insights into the formation pathways and optical properties of carbonaceous aerosols enhance our understanding of their climate impacts and underscore the need to differentiate between char and soot in climate models to improve accuracy. © 2025 American Chemical Society.",,,,
"An integrated approach for determining the spatial distribution, source apportionment and human health risks of PAHs in soils of rapidly-urbanized areas","The rise of large urban agglomerations has exacerbated pollutant emissions, resulting in regional soil contamination with polycyclic aromatic hydrocarbons (PAHs), which jeopardizes the development of urban agglomerations and affects human health. There is a lack of research in this area in the Beijing-Tianjin-Hebei region, with the existing studies on PAHs in soil in the larger region often neglecting the spatial heterogeneity of the pollution sources and systematic analysis of risk assessment. This study introduces the Distribution-Source-Risk framework, analyzed soil PAH pollutants in the region, and examined PAH sources, distribution patterns, and associated health risks. Random forest modeling was employed to map PAH distribution in the BTH soils. City classification analysis was conducted based on the derived pollution levels and urbanization degree, resulting in four city types: high urbanization and high pollution, high urbanization and low pollution, low urbanization and high pollution, and low urbanization and low pollution. Primary PAH sources include coal-burning (29%), coking (25%), traffic (25%), and biomass-burning (21%), with varying contributions based on city types. The overall order of human health risks was coal-burning ​> ​traffic ​> ​coking ​> ​biomass-burning sources. Finally, differen policies for soil PAH PAH management (such as energy transition and green infrastructure) were elaborated to promote coordinated development of regional urbanization environment. In summary, this research offers a comprehensive approach, linking processes to provide a precise understanding of pollution across different entities (cities, sources, and populations). Our findings reveal distinct pollution patterns across city types and highlight targeted mitigation priorities and provide a systematic, data-driven framework for regional soil PAH management and public health protection. © 2025 The Authors",,,,
"Projecting Forest Fire Probability in South Korea under Climate Change, Population, and Forest Management Scenarios Using AI & Process-Based Hybrid Model (FLAM-Net)","Climate change-induced heat waves and densely forested areas near urban centers in South Korea create complex challenges for wildfire response systems. Various forest fire models have been developed to address this, each with unique strengths and weaknesses. Process-based models offer high interpretability through human domain knowledge but require extensive optimization, while machine learning models automatically identify important features but have limited interpretability. To leverage the strengths of both models, this study aimed to integrate human domain knowledge into a machine learning framework. IIASA's wildfire cLimate impacts and Adaptation Model (FLAM)—a process-based model incorporating biophysical and human impacts—was developed as a neural network called FLAM-Net. Enhancements included improving backpropagation for optimization and introducing algorithms for national-specific fire ignition dynamics. FLAM-Net was applied at multiple scales and integrated through U-Net-based architecture, named Deep Neural FLAM (DN-FLAM), to produce downscaled predictions. The optimization revealed spatial concentration of fires near metropolitan areas and the east coast, with temporal concentration in spring due to agricultural burning. Integration of multi-scale features through DN-FLAM achieved optimal performance with Pearson's r values of 0.943, 0.840, and 0.641 for temporal, spatial, and spatio-temporal validations. Future projections based on Shared Socioeconomic Pathways (SSP) indicated increasing fire frequencies until 2050, followed by a decrease due to increased precipitation. This study demonstrates the benefits of the hybrid approach, providing interpretability, accuracy, and efficient optimization. These hybrid models offer scientific evidence to guide locally tailored decision-making for climate change-induced forest fires and lay the groundwork for global application through their optimization capabilities. © 2008-2012 IEEE.",,,,
An AI-Based Framework for Characterizing the Atmospheric Fate of Air Pollutants Within Diverse Environmental Settings,"This study introduces a novel artificial intelligence (AI) modeling framework that combines machine learning algorithms optimized through metaheuristics with explainable AI to capture complex interactions among pollutant concentrations, meteorological data, and socio-economic indicators. Applied to a COVID-19-related dataset comprising 404 variables, with benzene concentrations as the target—measured using proton transfer reaction–mass spectrometry in Belgrade, Serbia—the framework demonstrated exceptional sensitivity in assessing the impact of complex environmental and societal changes during the pandemic. Explainable AI techniques, such as SHAP and SAGE, were employed to reveal the influence of each predictor, while the clustering of SHAP values identified distinct environmental settings that influenced benzene behavior. Three distinct settings were identified regarding benzene levels during the onset of the state of emergency. The first, involving local petroleum-related activities, biomass burning, chemical manufacturing, and traffic, led to a 15.7% reduction in benzene levels. The second, characterized by non-combustion processes, nocturnal chemistry, and the specific meteorological context, resulted in a 51.9% increase. The third, driven by local industrial processes, contributed to a modest 2.33% reduction. The study underscored the critical role of environmental settings in shaping air pollutant behavior, emphasizing the importance of integrating broader environmental contexts into models to gain a more comprehensive understanding of air pollutants and their dynamics. © 2025 by the authors.",,,,
Predicting opinion using deep learning: From burning to sustainable management of organic waste in Indian State of Punjab,"In winter season, the burning of crop residues for ease of sowing the next crop, along with industrial emissions and vehicular pollution leads to settling of a thick layer of smog in northern part of India. Therefore, to understand the opinion of farmers regarding sustainable management of organic waste, the present study was conducted in Ludhiana district of Indian state of Punjab. An ex post facto research design was used and a total of 800 dairy farmers having significant crop area were selected randomly for the study, grouped equally as small and large dairy farmers. Results revealed that majority of farmers had a highly favourable opinion regarding organic waste management due to the fact that they were aware of the ill-effects of undesirable practices like crop residue burning. Further, to predict the farmers’ opinion and the effect of independent variables on farmers’ opinion, a multi-layer perceptron feed-forward deep neural network was developed with mean squared error of 0.036 and 0.137 for validation and training data sets respectively, marking a novel approach of analysing farmers’ behaviour. The neural network highlighted that with increase in the magnitude of input variables, namely, education, experience in dairying, information source utilisation, knowledge regarding organic waste management, etc., the farmers’ opinion regarding sustainable waste management increases. The study concluded with the impression that cognitive processes like education, information and knowledge play a significant role in forming the opinion of the farmers. Therefore, efforts focusing on enhancing cognition should be made for sustainable management of organic waste. © The Author(s) 2023.",,,,
Simulation of Secondary Organic Aerosol Formation Using Near-Explicitly Predicted Products from Naphthalene Photooxidation in the Presence of NOx,"The atmospheric oxidation of naphthalene, found in automobile exhaust and biomass burning smoke, forms a secondary organic aerosol (SOA) with a high yield. In this study, a near-explicit gas mechanism for the photooxidation of naphthalene in the presence of NOx was derived using a box model platform. The naphthalene oxidation initiated by an OH radical produces various products, including naphthols, nitronaphthols, naphthoquinones, ring-opening products, and organonitrates. The resulting gas mechanism was applied to the UNIfied Partitioning Aerosol-phase Reaction (UNIPAR) model to predict SOA formation via multiphase reactions of naphthalene. Semiexplicitly predicted products were sorted to construct volatility-reactivity-based two-dimensional (2D) lumping species, which were used to process multiphase partitioning of organics and their heterogeneous chemistry to form SOA. The performance of the gas mechanism and the SOA model was demonstrated with data obtained from the photooxidation of naphthalene under varying conditions (NOx levels, humidity, temperature, and seed types) in a large outdoor photochemical smog chamber. Major products predicted from gas mechanisms were compared with products tentatively identified using proton transfer reaction-mass spectrometry. The simulated organic-to-carbon ratio (0.72) using predicted SOA functional groups was compared with the ratio (0.70 ± 0.7) constructed from the analysis of chamber-generated SOA using Fourier transform infrared spectrometry. Among environmental variables, NOx and temperature are influential in naphthalene SOA formation. A strong negative relationship appeared between SOA and NOx levels under hydrocarbon (HC)-limited regions (HC ppbC/NOx ppb <5) but a weakly positive relationship at NOx-limited regions. The impact of aqueous reactions on naphthalene SOA growth was insignificant regardless of inorganic seed types (inorganic aerosol liquid water content and seed aerosol acidity) due to poor solubility of naphthalene oxidation products in the inorganic aqueous phase. Under high NOx levels, SOA growth is dominated by organic-phase heterogeneous reactions of reactive, low-volatile multifunctional aldehydes. Both partitioning and heterogeneous reactions are, however, influential in naphthalene SOA formation under the NOx-limited regions. © 2024 American Chemical Society.",,,,
